"""@chriswerner1988: @realDonaldTrump It even lights up?? That's so HOT #Bestchicagosign""",6/21/14 3:30,19,6,4.80251E+17
@misskhan  Happy Birthday.,2/28/13 8:52,0,0,3.07126E+17
"""@PzFeed: The glitziest jet in the sky. Donald spent $100 million on his Boeing 757. VIDEO: http://tinyurl.com/lhkcett�� pic.twitter.com/HLn6tNyhY9""",4/12/15 20:48,177,69,5.87417E+17
"""@JeremyManning36: @realDonaldTrump when do I get my #TrumpForPresident #Trump2016 #presskit #yardsigns"" Cute, stay tuned.",4/23/15 21:42,32,12,5.91417E+17
"""@AbrahamL1nx: ISIS would already be on ice if @realDonaldTrump was the president. We need you, sir. #MyManTrump2016""",6/7/15 4:40,54,22,6.07467E+17
"""@HGswiney: @realDonaldTrump you're awesome in that boardroom. Great back to back episodes tonight!""",1/5/15 21:47,14,6,5.52295E+17
"""@Jmano33: @realDonaldTrump you are without a doubt the coolest! Not many people stand up for themselves in today's world!!"" Thank you.",6/25/13 21:18,19,12,3.49698E+17
"People having a great time in the Trump Tower atrium ---   unlike others, I stayed open. http://fb.me/28ipnxFqk��",10/30/12 11:22,73,142,2.633E+17
@marioraez1 Thanks.,1/9/13 10:08,0,0,2.89026E+17
"""@Vogelsong1: @EdRollins gets it. Was just on @FoxNews explaining how Trump wins the general election.""  Thank you Ed!",2/23/16 10:36,4573,1325,7.02155E+17
Some of you were asking about the All-Star line-up for Celebrity Apprentice http://ti.me/X1K1yS��,10/19/12 14:03,8,27,2.59354E+17
"""@TheGrumpyHusky: @realDonaldTrump He's too late on fixing America. That'll be your priority once you take over office in 2016 Sir.",9/12/13 23:27,21,11,3.78359E+17
"""@ChristianL2499: @realDonaldTrump You're the man Mr. Trump! #DonaldTrump2016"" Thanks.",6/14/14 22:30,36,17,4.78002E+17
Please tweet me your questions to answer in my #trumpvlog.,7/28/11 14:26,5,29,9.66477E+16
"Crooked Hillary Clinton knew everything that her ""servant"" was doing at the DNC - they just got caught, that's all! They laughed at Bernie.",7/25/16 9:19,27964,9289,7.57566E+17
Looks like two-time failed candidate Mitt Romney is going to be telling Republicans how to get elected. Not a good messenger!,3/2/16 22:33,23056,7823,7.05235E+17
