On Chill	Wale Featuring Jeremih
All Of A Sudden	Lil Baby Featuring Moneybagg Yo
Proud	2 Chainz Featuring YG & Offset
Icy Grl	Saweetie
Drip	Cardi B Featuring Migos
Crew	GoldLink Featuring Brent Faiyaz & Shy Glizzy
Top Off	DJ Khaled Featuring JAY Z, Future & B
Bartier Cardi	Cardi B Featuring 21 Savage
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
Nice & Slow	Ball Greezy Featuring Lil Dred
Hardaway	Derez De'Shon
Booty	Blac Youngsta
Icon	Jaden Smith
Plain Jane	A$AP Ferg Featuring Nicki Minaj
Barbie Tingz	Nicki Minaj
Hurtin' Me	Stefflon Don Featuring French Montana
Him & I	G-Eazy & Halsey
Melanin Magic (Pretty Brown)	Remy Ma Featuring Chris Brown
Rockstar	Post Malone Featuring 21 Savage
Let You Down	NF
Lemon	N*E*R*D & Rihanna
So Good	Big Sean & Metro Boomin Featuring Kash Doll
MotorSport	Migos, Nicki Minaj & Cardi B
Pick It Up	Famous Dex Featuring A$AP Rocky
Pills And Automobiles	Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black
I Get The Bag	Gucci Mane Featuring Migos
I Fall Apart	Post Malone
Roll In Peace	Kodak Black Featuring XXXTENTACION
Bodak Yellow (Money Moves)	Cardi B
Unforgettable	French Montana Featuring Swae Lee
Juice	Yo Gotti
Oh I	The Game Featuring Jeremih, Young Thug & Sevyn
Gucci Gang	Lil Pump
My Dawg	Lil Baby
The Way Life Goes	Lil Uzi Vert Featuring Nicki Minaj
Something New	Wiz Khalifa Featuring Ty Dolla $ign
Rake It Up	Yo Gotti Featuring Nicki Minaj
Krippy Kush	Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian
Butterfly Effect	Travis Scott
Wake Me Up	Remy Ma Featuring Lil' Kim
Pull Up N Wreck	Big Sean & Metro Boomin Featuring 21 Savage
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
Love.	Kendrick Lamar Featuring Zacari
I Get The Bag	Gucci Mane Featuring Migos
Rockstar	Post Malone Featuring 21 Savage
MotorSport	Migos, Nicki Minaj & Cardi B
Bodak Yellow (Money Moves)	Cardi B
Crew	GoldLink Featuring Brent Faiyaz & Shy Glizzy
Lemon	N*E*R*D & Rihanna
Pills And Automobiles	Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black
Rake It Up	Yo Gotti Featuring Nicki Minaj
Gucci Gang	Lil Pump
Plain Jane	A$AP Ferg Featuring Nicki Minaj
Unforgettable	French Montana Featuring Swae Lee
Humble.	Kendrick Lamar
Loyalty.	Kendrick Lamar Featuring Rihanna
The Way Life Goes	Lil Uzi Vert Featuring Nicki Minaj
Juice	Yo Gotti
Something New	Wiz Khalifa Featuring Ty Dolla $ign
Let You Down	NF
Bank Account	21 Savage
Butterfly Effect	Travis Scott
I Fall Apart	Post Malone
Wake Me Up	Remy Ma Featuring Lil' Kim
Booty	Blac Youngsta
Wokeuplikethis*	Playboi Carti Featuring Lil Uzi Vert
Bam	JAY-Z Featuring Damian "Jr. Gong" Marely
Live Up To My Name	Baka Not Nice
So Excited	Fat Joe Featuring Dre
1-800-273-8255	Logic Featuring Alessia Cara & Khalid
Space	TK Kravitz Featuring Sexton
Too Hotty	Quavo, Takeoff & Offset
Whatever You Need	Meek Mill Featuring Chris Brown & Ty Dolla $ign
DNA.	Kendrick Lamar
What You Like	24 Hrs Featuring Ty Dolla $ign & Wiz Khalifa
It's A Vibe	2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko
I'll Find You	Lecrae Featuring Tori Kelly
Love U Better	Ty Dolla $ign Featuring Lil Wayne & The-Dream
Incredible	Future
XO TOUR Llif3	Lil Uzi Vert
Slippery	Migos Featuring Gucci Mane
Mask Off	Future
Drowning	A Boogie Wit da Hoodie Featuring Kodak Black
Magnolia	Playboi Carti
4:44	JAY-Z
Everyday We Lit	YFN Lucci Featuring PnB Rock
Both	Gucci Mane Featuring Drake
I'm The One	DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne
Tone It Down	Gucci Mane Featuring Chris Brown
F With U	Kid Ink Featuring Ty Dolla $ign
Water	Joe Gifted Featuring Fronstreet
Fever	Vybz Kartel
No Effort	Tee Grizzley
Congratulations	Post Malone Featuring Quavo
Neighbors	J. Cole
T-Shirt	Migos
Bad And Boujee	Migos Featuring Lil Uzi Vert
Goosebumps	Travis Scott
Tunnel Vision	Kodak Black
Rolex	Ayo & Teo
Pull Up Wit Ah Stick	SahBabii Featuring Loso Loaded
Jump Out The Window	Big Sean
Bounce Back	Big Sean
Portland	Drake Featuring Quavo & Travis Scott
First Day Out	Tee Grizzley
Come Closer	WizKid Featuring Drake
Good Drank	2 Chainz x Gucci Mane x Quavo
Fake Love	Drake
To The Max	DJ Khaled Featuring Drake
Blessings	Lecrae Featuring Ty Dolla $ign
iSpy	KYLE Featuring Lil Yachty
Fashion Week	Wale Featuring G-Eazy
Shining	DJ Khaled Featuring Beyonce & JAY Z
Free Smoke	Drake
Deja Vu	J. Cole
Swang	Rae Sremmurd
Moves	Big Sean
Black Beatles	Rae Sremmurd Featuring Gucci Mane
Skateboard P	MadeinTYO
Money Showers	Fat Joe & Remy Ma Featuring Ty Dolla $ign
Prblms	6LACK
No Frauds	Nicki Minaj, Drake & Lil Wayne
All Night	Chance The Rapper Featuring Knox Fortune
I Think She Like Me	Rick Ross Featuring Ty Dolla $ign
No Problem	Chance The Rapper Featuring Lil Wayne & 2 Chainz
Used To This	Future Featuring Drake
Caroline	Amine
Draco	Future
OTW	DJ Luke Nasty
Bad Things	Machine Gun Kelly x Camila Cabello
Pull Up	Wiz Khalifa Featuring Lil Uzi Vert
Too Much Sauce	DJ ESCO Featuring Future & Lil Uzi Vert
All There	Jeezy Featuring Bankroll Fresh
X	21 Savage & Metro Boomin Featuring Future
Cash Machine	D.R.A.M.
Spend It	Dae Dae
You Was Right	Lil Uzi Vert
Wasted	Dreezy
Girlfriend	Kap G
Now & Later	Sage The Gemini
Broccoli	D.R.A.M. Featuring Lil Yachty
Chill Bill	Rob $tone Featuring J. Davi$ & Spooks
Push It	O.T. Genasis
Childs Play	Drake
For Free	DJ Khaled Featuring Drake
Do You Mind	DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross
OOOUUU	Young M.A
Controlla	Drake
False Prophets	J. Cole
Big Amount	2 Chainz Featuring Drake
Juju On That Beat (TZ Anthem)	Zay Hilfigerrr & Zayion McCall
Pick Up The Phone	Young Thug And Travis Scott Featuring Quavo
Too Good	Drake Featuring Rihanna
All Eyez	The Game Featuring Jeremih
Father Stretch My Hands Pt. 1	Kanye West
What They Want	Russ
Key To The Streets	YFN Lucci Featuring Migos & Trouble
Tiimmy Turner	Desiigner
1 Night	Lil Yachty
Ballerina	Belly
Wat U Mean (Aye, Aye, Aye)	Dae Dae
Panda	Desiigner
Sucker For Pain	Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
I Got The Keys	DJ Khaled Featuring Jay Z & Future
My Sh*t	A Boogie Wit da Hoodie
My PYT	Wale
Why You Always Hatin?	YG Featuring Drake & Kamaiyah
Cookin	Fat Joe, Remy Ma & French Montana Featuring RySoValid
Don't Mind	Kent Jones
THat Part	ScHoolboy Q Featuring Kanye West
Really Really	Kevin Gates
Wicked	Future
No Shopping	French Montana Featuring Drake
Devastated	Joey Bada$$
All The Way Up	Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared
Cut It	O.T. Genasis Featuring Young Dolph
On The Way	TWENTY88
Say Sum	Migos
Low Life	Future Featuring The Weeknd
Drifting	G-Eazy Featuring Chris Brown & Tory Lanez
Dope	T.I. Featuring Marsha Ambrosius
Uber Everywhere	MadeinTYO
Just A Lil' Thick ($he Juicy)	Trinidad James Featuring Mystikal & Lil Dicky
Wake Up	Fetty Wap
Law	Yo Gotti Featuring E-40
Might Not	Belly Featuring The Weeknd
2 Phones	Kevin Gates
Moolah	Young Greatness
No Role Modelz	J. Cole
Jumpman	Drake & Future
Famous	Kanye West
New Level	A$AP Ferg Featuring Future
Promise	Kid Ink Featuring Fetty Wap
Might Be	DJ Luke Nasty
Saved	Ty Dolla $ign Featuring E-40
Ran Off On Da Plug Twice	Plies
Money Talk	T.I.
Me, Myself & I	G-Eazy x Bebe Rexha
Down In The DM	Yo Gotti Featuring Nicki Minaj
Love Yourz	J. Cole
By Chance	Rae Sremmurd
Pop Style	Drake Featuring The Throne
Best Friend	Young Thug
Summer Sixteen	Drake
You Could Be My Lover	Puff Daddy & The Family Featuring Ty Dolla $ign & Gizzle
Do It Like Me	DLOW
Antidote	Travis Scott
Big Rings	Drake & Future
679	Fetty Wap Featuring Remy Boyz
$ave Dat Money	Lil Dicky Featuring Fetty Wap & Rich Homie Quan
Again	Fetty Wap
Moses	French Montana Featuring Chris Brown & Migos
Bottom Of The Bottle	Curren$Y Featuring August Alsina & Lil Wayne
3 Times In A Row	TK N Cash
Hotline Bling	Drake
California	Colonel Loud Featuring T.I., Young Dolph & Ricco Barrino
White Iverson	Post Malone
Milly Rock	2 Milly
Play No Games	Big Sean Featuring Chris Brown & Ty Dolla $ign
WTF (Where They From)	Missy Elliott Featuring Pharrell Williams
Sorry	Rick Ross Featuring Chris Brown
1Hunnid	K Camp Featuring Fetty Wap
Real Friends	Kanye West
Where Ya At	Future Featuring Drake
Back Up	DeJ Loaf Featuring Big Sean
These Walls	Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat
Watch Out	2 Chainz
Like Baby	Jacquees
Blase	Ty Dolla $ign Featuring Future & Rae Sremmurd
Back To Back	Drake
Hit The Quan	iLoveMemphis
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
Come Get Her	Rae Sremmurd
My Way	Fetty Wap Featuring Monty
Comfortable	K Camp
Downtown	Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz
Bout 2 Blow	Empire Cast Featuring Yazz & Timbaland
Say It	Tory Lanez
Flex (Ooh Ooh Ooh)	Rich Homie Quan
Nothing But Trouble (Instagram Models)	Lil Wayne & Charlie Puth
We In Da City	Young Dro
